Largest 100 Cities,State,Region,Jan-17,Jan-18,Jan-19,Jan-20,Jan-21,Jan-22,Per_YOY_2017,D_YOY_2017,Per_YOY_2018,D_YOY_2018,Per_YOY_2019,D_YOY_2019,Per_YOY_2020,D_YOY_2020,Per_YOY_2021,D_YOY_2021
JERSEY CITY, NJ,Northeast,"$2,500","$2,300","$2,803","$2,450","$2,270","$2,765",-8%,-200,22%,502.5,-13%,-352.5,-7%,-180,22%,495
KANSAS CITY, MO,Midwest,$880,$882,"$1,037",$995,"$1,125","$1,250",0%,2,18%,155,-4%,-42,13%,130,11%,125
LAREDO, TX,South,$950,$980,$912,"$1,150",$960,"$1,130",3%,30,-7%,-68,26%,238,-17%,-190,18%,169.5
LAS VEGAS, NV,West,"$1,150","$1,250","$1,300","$1,400","$1,350","$1,700",9%,100,4%,50,8%,100,-4%,-50,26%,350
LEXINGTON, KY,South,$850,$942,$903,$925,$956,"$1,085",11%,92,-4%,-39,2%,22,3%,31,13%,129
LINCOLN, NE,Midwest,$849,$875,$937,$890,$940,"$1,040",3%,26,7%,62,-5%,-47,6%,50,11%,100
LONG BEACH, CA,West,"$1,750","$1,695","$1,995","$1,795","$2,000","$2,400",-3%,-55,18%,300,-10%,-200,11%,205,20%,399.5
LOS ANGELES, CA,West,"$2,500","$2,233","$2,700","$2,800","$2,595","$2,943",-11%,-267.5,21%,467,4%,100.5,-7%,-205,13%,348
LOUISVILLE, KY,South,$890,$895,$985,"$1,000","$1,055","$1,225",1%,5,10%,90,2%,15,6%,55,16%,170
LUBBOCK, TX,South,$918,$975,$875,$995,$905,$950,6%,57,-10%,-100,14%,120,-9%,-90,5%,45
MADISON, WI,Midwest,"$1,265","$1,260","$1,235","$1,150","$1,275","$1,319",0%,-5,-2%,-25,-7%,-85,11%,125,3%,44
MEMPHIS, TN,South,$850,$810,$965,$975,"$1,060","$1,322",-5%,-40,19%,155,1%,10,9%,85,25%,261.5
